trial_id,model,interface,technique_id,heuristic_score,response_file_path
GPT55_T09_T1_s512_429,gpt-5.5,codex-cli,T1,1,analysis\cross_vendor_responses\GPT55_T09_T1_s512_429.txt
GPT55_T07_T1_s137_267,gpt-5.5,codex-cli,T1,1,analysis\cross_vendor_responses\GPT55_T07_T1_s137_267.txt
GPT55_T13_T1_s256_93,gpt-5.5,codex-cli,T1,1,analysis\cross_vendor_responses\GPT55_T13_T1_s256_93.txt
GPT55_T07_T1_s137_487,gpt-5.5,codex-cli,T1,1,analysis\cross_vendor_responses\GPT55_T07_T1_s137_487.txt
GPT55_T13_T1_s256_33,gpt-5.5,codex-cli,T1,1,analysis\cross_vendor_responses\GPT55_T13_T1_s256_33.txt
GPT55_T08_T1_s256_188,gpt-5.5,codex-cli,T1,1,analysis\cross_vendor_responses\GPT55_T08_T1_s256_188.txt
GPT55_T02_T1_s137_42,gpt-5.5,codex-cli,T1,0,analysis\cross_vendor_responses\GPT55_T02_T1_s137_42.txt
GPT55b2_T09_T1_s512_5149,gpt-5.5,codex-cli,T1,0,analysis\cross_vendor_responses\GPT55b2_T09_T1_s512_5149.txt
GPT55b2_T15_T1_s1024_5015,gpt-5.5,codex-cli,T1,0,analysis\cross_vendor_responses\GPT55b2_T15_T1_s1024_5015.txt
GPT55_T20_T1_s1024_240,gpt-5.5,codex-cli,T1,0,analysis\cross_vendor_responses\GPT55_T20_T1_s1024_240.txt
GPT55b2_T07_T1_s137_5227,gpt-5.5,codex-cli,T1,0,analysis\cross_vendor_responses\GPT55b2_T07_T1_s137_5227.txt
GPT55b2_T16_T1_s42_5156,gpt-5.5,codex-cli,T1,0,analysis\cross_vendor_responses\GPT55b2_T16_T1_s42_5156.txt
GPT55_T12_T1_s137_312,gpt-5.5,codex-cli,T1,0,analysis\cross_vendor_responses\GPT55_T12_T1_s137_312.txt
GPT55b2_T02_T2_s137_5445,gpt-5.5,codex-cli,T2,1,analysis\cross_vendor_responses\GPT55b2_T02_T2_s137_5445.txt
GPT55_T10_T2_s1024_870,gpt-5.5,codex-cli,T2,1,analysis\cross_vendor_responses\GPT55_T10_T2_s1024_870.txt
GPT55_T09_T2_s512_729,gpt-5.5,codex-cli,T2,1,analysis\cross_vendor_responses\GPT55_T09_T2_s512_729.txt
GPT55b2_T02_T2_s137_5385,gpt-5.5,codex-cli,T2,1,analysis\cross_vendor_responses\GPT55b2_T02_T2_s137_5385.txt
GPT55_T12_T2_s137_652,gpt-5.5,codex-cli,T2,1,analysis\cross_vendor_responses\GPT55_T12_T2_s137_652.txt
GPT55_T03_T2_s256_843,gpt-5.5,codex-cli,T2,1,analysis\cross_vendor_responses\GPT55_T03_T2_s256_843.txt
GPT55b2_T07_T2_s137_5310,gpt-5.5,codex-cli,T2,0,analysis\cross_vendor_responses\GPT55b2_T07_T2_s137_5310.txt
GPT55_T14_T2_s512_694,gpt-5.5,codex-cli,T2,0,analysis\cross_vendor_responses\GPT55_T14_T2_s512_694.txt
GPT55_T17_T2_s137_817,gpt-5.5,codex-cli,T2,0,analysis\cross_vendor_responses\GPT55_T17_T2_s137_817.txt
GPT55_T11_T2_s42_711,gpt-5.5,codex-cli,T2,0,analysis\cross_vendor_responses\GPT55_T11_T2_s42_711.txt
GPT55_T10_T2_s1024_910,gpt-5.5,codex-cli,T2,0,analysis\cross_vendor_responses\GPT55_T10_T2_s1024_910.txt
GPT55_T19_T2_s512_979,gpt-5.5,codex-cli,T2,0,analysis\cross_vendor_responses\GPT55_T19_T2_s512_979.txt
