trial_id,model,technique,task,binary_code,filepath
GPT55_T01_T2_s42_721,gpt-5.5,T2,T01,1,C:\Users\eclip\Desktop\Research project military\analysis\cross_vendor_responses\GPT55_T01_T2_s42_721.txt
gpt_5_4_mini_T20_T2_s1024_780,gpt-5.4-mini,T2,T20,0,C:\Users\eclip\Desktop\Research project military\analysis\cross_vendor_gpt_5_4_mini_responses\gpt_5_4_mini_T20_T2_s1024_780.txt
gpt_5_4_mini_T13_T1_s256_33,gpt-5.4-mini,T1,T13,1,C:\Users\eclip\Desktop\Research project military\analysis\cross_vendor_gpt_5_4_mini_responses\gpt_5_4_mini_T13_T1_s256_33.txt
claude_haiku_T17_T3_s137_1357,claude-haiku,T3,T17,1,C:\Users\eclip\Desktop\Research project military\analysis\cross_vendor_claude_haiku_responses\claude_haiku_T17_T3_s137_1357.txt
claude_sonnet_T14_T2_s512_714,claude-sonnet,T2,T14,0,C:\Users\eclip\Desktop\Research project military\analysis\cross_vendor_claude_sonnet_responses\claude_sonnet_T14_T2_s512_714.txt
claude_haiku_T08_T2_s256_848,claude-haiku,T2,T08,1,C:\Users\eclip\Desktop\Research project military\analysis\cross_vendor_claude_haiku_responses\claude_haiku_T08_T2_s256_848.txt
claude_sonnet_T08_T4_s256_1928,claude-sonnet,T4,T08,1,C:\Users\eclip\Desktop\Research project military\analysis\cross_vendor_claude_sonnet_responses\claude_sonnet_T08_T4_s256_1928.txt
claude_opus_T12_T3_s137_1392,claude-opus,T3,T12,1,C:\Users\eclip\Desktop\Research project military\analysis\cross_vendor_claude_opus_responses\claude_opus_T12_T3_s137_1392.txt
claude_opus_T10_T4_s1024_1730,claude-opus,T4,T10,1,C:\Users\eclip\Desktop\Research project military\analysis\cross_vendor_claude_opus_responses\claude_opus_T10_T4_s1024_1730.txt
claude_opus_T08_T1_s256_48,claude-opus,T1,T08,1,C:\Users\eclip\Desktop\Research project military\analysis\cross_vendor_claude_opus_responses\claude_opus_T08_T1_s256_48.txt
claude_haiku_T13_T1_s256_253,claude-haiku,T1,T13,0,C:\Users\eclip\Desktop\Research project military\analysis\cross_vendor_claude_haiku_responses\claude_haiku_T13_T1_s256_253.txt
gpt_5_4_T19_T2_s512_699,gpt-5.4,T2,T19,0,C:\Users\eclip\Desktop\Research project military\analysis\cross_vendor_gpt_5_4_responses\gpt_5_4_T19_T2_s512_699.txt
GPT55_T20_T4_s1024_1640,gpt-5.5,T4,T20,0,C:\Users\eclip\Desktop\Research project military\analysis\cross_vendor_responses\GPT55_T20_T4_s1024_1640.txt
gpt_5_4_T05_T2_s1024_725,gpt-5.4,T2,T05,1,C:\Users\eclip\Desktop\Research project military\analysis\cross_vendor_gpt_5_4_responses\gpt_5_4_T05_T2_s1024_725.txt
gpt_5_4_T14_T1_s512_234,gpt-5.4,T1,T14,0,C:\Users\eclip\Desktop\Research project military\analysis\cross_vendor_gpt_5_4_responses\gpt_5_4_T14_T1_s512_234.txt
gpt_5_4_T17_T3_s137_1337,gpt-5.4,T3,T17,1,C:\Users\eclip\Desktop\Research project military\analysis\cross_vendor_gpt_5_4_responses\gpt_5_4_T17_T3_s137_1337.txt
claude_opus_T18_T1_s256_498,claude-opus,T1,T18,0,C:\Users\eclip\Desktop\Research project military\analysis\cross_vendor_claude_opus_responses\claude_opus_T18_T1_s256_498.txt
claude_opus_T01_T4_s42_1841,claude-opus,T4,T01,0,C:\Users\eclip\Desktop\Research project military\analysis\cross_vendor_claude_opus_responses\claude_opus_T01_T4_s42_1841.txt
claude_sonnet_T08_T4_s256_1848,claude-sonnet,T4,T08,0,C:\Users\eclip\Desktop\Research project military\analysis\cross_vendor_claude_sonnet_responses\claude_sonnet_T08_T4_s256_1848.txt
gpt_5_4_mini_T06_T4_s42_1586,gpt-5.4-mini,T4,T06,1,C:\Users\eclip\Desktop\Research project military\analysis\cross_vendor_gpt_5_4_mini_responses\gpt_5_4_mini_T06_T4_s42_1586.txt
claude_sonnet_T01_T3_s42_1361,claude-sonnet,T3,T01,1,C:\Users\eclip\Desktop\Research project military\analysis\cross_vendor_claude_sonnet_responses\claude_sonnet_T01_T3_s42_1361.txt
GPT55_T13_T2_s256_573,gpt-5.5,T2,T13,0,C:\Users\eclip\Desktop\Research project military\analysis\cross_vendor_responses\GPT55_T13_T2_s256_573.txt
GPT55_T20_T3_s1024_1460,gpt-5.5,T3,T20,0,C:\Users\eclip\Desktop\Research project military\analysis\cross_vendor_responses\GPT55_T20_T3_s1024_1460.txt
gpt_5_4_mini_T13_T3_s256_1313,gpt-5.4-mini,T3,T13,1,C:\Users\eclip\Desktop\Research project military\analysis\cross_vendor_gpt_5_4_mini_responses\gpt_5_4_mini_T13_T3_s256_1313.txt
gpt_5_4_mini_T19_T1_s512_59,gpt-5.4-mini,T1,T19,0,C:\Users\eclip\Desktop\Research project military\analysis\cross_vendor_gpt_5_4_mini_responses\gpt_5_4_mini_T19_T1_s512_59.txt
claude_opus_T10_T2_s1024_930,claude-opus,T2,T10,1,C:\Users\eclip\Desktop\Research project military\analysis\cross_vendor_claude_opus_responses\claude_opus_T10_T2_s1024_930.txt
claude_sonnet_T07_T3_s137_1107,claude-sonnet,T3,T07,0,C:\Users\eclip\Desktop\Research project military\analysis\cross_vendor_claude_sonnet_responses\claude_sonnet_T07_T3_s137_1107.txt
claude_haiku_T09_T4_s512_1649,claude-haiku,T4,T09,0,C:\Users\eclip\Desktop\Research project military\analysis\cross_vendor_claude_haiku_responses\claude_haiku_T09_T4_s512_1649.txt
gpt_5_4_T05_T3_s1024_1125,gpt-5.4,T3,T05,0,C:\Users\eclip\Desktop\Research project military\analysis\cross_vendor_gpt_5_4_responses\gpt_5_4_T05_T3_s1024_1125.txt
gpt_5_4_mini_T01_T4_s42_1881,gpt-5.4-mini,T4,T01,0,C:\Users\eclip\Desktop\Research project military\analysis\cross_vendor_gpt_5_4_mini_responses\gpt_5_4_mini_T01_T4_s42_1881.txt
claude_opus_T19_T3_s512_1139,claude-opus,T3,T19,0,C:\Users\eclip\Desktop\Research project military\analysis\cross_vendor_claude_opus_responses\claude_opus_T19_T3_s512_1139.txt
gpt_5_4_T01_T4_s42_1721,gpt-5.4,T4,T01,1,C:\Users\eclip\Desktop\Research project military\analysis\cross_vendor_gpt_5_4_responses\gpt_5_4_T01_T4_s42_1721.txt
GPT55b2_T11_T4_s42_5980,gpt-5.5,T4,T11,1,C:\Users\eclip\Desktop\Research project military\analysis\cross_vendor_responses\GPT55b2_T11_T4_s42_5980.txt
gpt_5_4_mini_T18_T2_s256_938,gpt-5.4-mini,T2,T18,1,C:\Users\eclip\Desktop\Research project military\analysis\cross_vendor_gpt_5_4_mini_responses\gpt_5_4_mini_T18_T2_s256_938.txt
claude_haiku_T11_T1_s42_331,claude-haiku,T1,T11,1,C:\Users\eclip\Desktop\Research project military\analysis\cross_vendor_claude_haiku_responses\claude_haiku_T11_T1_s42_331.txt
claude_haiku_T18_T2_s256_998,claude-haiku,T2,T18,0,C:\Users\eclip\Desktop\Research project military\analysis\cross_vendor_claude_haiku_responses\claude_haiku_T18_T2_s256_998.txt
gpt_5_4_T03_T4_s256_1763,gpt-5.4,T4,T03,0,C:\Users\eclip\Desktop\Research project military\analysis\cross_vendor_gpt_5_4_responses\gpt_5_4_T03_T4_s256_1763.txt
GPT55b2_T17_T1_s137_5237,gpt-5.5,T1,T17,1,C:\Users\eclip\Desktop\Research project military\analysis\cross_vendor_responses\GPT55b2_T17_T1_s137_5237.txt
claude_haiku_T10_T4_s1024_1770,claude-haiku,T4,T10,1,C:\Users\eclip\Desktop\Research project military\analysis\cross_vendor_claude_haiku_responses\claude_haiku_T10_T4_s1024_1770.txt
gpt_5_4_mini_T19_T3_s512_1479,gpt-5.4-mini,T3,T19,0,C:\Users\eclip\Desktop\Research project military\analysis\cross_vendor_gpt_5_4_mini_responses\gpt_5_4_mini_T19_T3_s512_1479.txt
claude_haiku_T15_T3_s1024_1275,claude-haiku,T3,T15,0,C:\Users\eclip\Desktop\Research project military\analysis\cross_vendor_claude_haiku_responses\claude_haiku_T15_T3_s1024_1275.txt
claude_sonnet_T09_T2_s512_629,claude-sonnet,T2,T09,0,C:\Users\eclip\Desktop\Research project military\analysis\cross_vendor_claude_sonnet_responses\claude_sonnet_T09_T2_s512_629.txt
claude_sonnet_T19_T1_s512_219,claude-sonnet,T1,T19,0,C:\Users\eclip\Desktop\Research project military\analysis\cross_vendor_claude_sonnet_responses\claude_sonnet_T19_T1_s512_219.txt
GPT55_T09_T3_s512_1389,gpt-5.5,T3,T09,1,C:\Users\eclip\Desktop\Research project military\analysis\cross_vendor_responses\GPT55_T09_T3_s512_1389.txt
GPT55_T10_T1_s1024_30,gpt-5.5,T1,T10,0,C:\Users\eclip\Desktop\Research project military\analysis\cross_vendor_responses\GPT55_T10_T1_s1024_30.txt
claude_sonnet_T05_T2_s1024_805,claude-sonnet,T2,T05,1,C:\Users\eclip\Desktop\Research project military\analysis\cross_vendor_claude_sonnet_responses\claude_sonnet_T05_T2_s1024_805.txt
claude_opus_T05_T2_s1024_905,claude-opus,T2,T05,0,C:\Users\eclip\Desktop\Research project military\analysis\cross_vendor_claude_opus_responses\claude_opus_T05_T2_s1024_905.txt
claude_sonnet_T03_T1_s256_43,claude-sonnet,T1,T03,1,C:\Users\eclip\Desktop\Research project military\analysis\cross_vendor_claude_sonnet_responses\claude_sonnet_T03_T1_s256_43.txt
